,Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Number of vacation days,Employment status,Main language at work,Company size,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
677,25/11/2020 19:02:12,28.0,Male,Munich,Software Engineer,6,3,Middle,"C, C++",64000.0,9000,30,Full-time employee,English,101-1000,No,0.0,0
679,25/11/2020 19:02:43,25.0,Male,Berlin,Mobile Developer,2,2,Middle,"Swift, Objective-C, iOS",44000.0,0,27,Full-time employee,English,1000+,No,0.0,0
680,25/11/2020 19:06:21,25.0,Female,Hamburg,working student (QA),1,1,Student,Ruby,12000.0,0,12,working student,English,1000+,No,0.0,0
681,25/11/2020 19:10:04,32.0,Male,Berlin,Backend Developer,10,3,Lead,Ruby,80000.0,0,28,Full-time employee,English,51-100,No,0.0,0
682,25/11/2020 19:15:16,32.0,Male,Berlin,Software Engineer,9,3,Lead,Embedded,73000.0,1000,28,Full-time employee,English,101-1000,No,0.0,300
683,25/11/2020 19:31:47,26.0,Male,Berlin,Architect ,9,4,Head,Go,120000.0,50000,24,Full-time employee,English,1000+,Yes,0.0,No
684,25/11/2020 19:33:52,25.0,Male,Berlin,Software Engineer,6,3,Senior,JavaScript / TypeScript,71750.0,6000,30,Full-time employee,English,1000+,No,0.0,0
685,25/11/2020 19:38:20,27.0,Female,Berlin,Backend Developer,5,"2,5",Middle,Kotlin,65000.0,0,30,Full-time employee,English,51-100,No,0.0,0
686,25/11/2020 19:44:29,28.0,Male,Frankfurt,Frontend Developer,7,5,Senior,Javascript,80000.0,0,29,Full-time employee,English,11-50,No,0.0,0
687,25/11/2020 19:44:59,32.0,Female,Munich,QA Engineer,8,1,Senior,Java,60000.0,70000,26,Full-time employee,English,101-1000,No,0.0,0
688,25/11/2020 19:54:39,28.0,Male,Karlsruhe,Backend Developer,7,3,Senior,Java,66000.0,3000,28,Full-time employee,English,1000+,No,0.0,0
689,25/11/2020 19:57:23,34.0,Male,Berlin,Frontend Developer,13,1,Lead,JavaScript,85000.0,0,30,Full-time employee,English,101-1000,No,0.0,no
690,25/11/2020 20:01:27,35.0,Male,Konstanz,Data Scientist,10,10,Middle,python,65000.0,0,25,Full-time employee,English,51-100,No,0.0,0
691,25/11/2020 20:13:33,38.0,Male,Berlin,Head of Engineering,20,9,Head,Java,130000.0,20000,30,Full-time employee,English,1000+,Yes,0.0,0
692,25/11/2020 20:15:31,33.0,Male,Berlin,Backend Developer,9,4,Senior,Java,81900.0,102600,0,Full-time employee,English,1000+,No,0.0,0
